,Customer ID,Age,Gender,Product,Category,Location,Season,Review Rating,Subscription Status,Discount Applied,Promo Code Used,Previous Purchases,Frequency of Purchases,Date,Quantity,Purchase Amount (USD),Sales,Holiday,Year,Month,Day,Age Group,Previous Purchases Group
42,43,20,Male,Coat,Outerwear,Tennessee,Spring,4.1,True,True,True,15,Annually,2023-07-14,1,100,100.0,No Holiday,2023,7,14,Young Adult,11-20
43,44,25,Male,Scarf,Accessories,Ohio,Fall,3.7,True,True,True,19,Fortnightly,2023-02-19,1,69,69.0,No Holiday,2023,2,19,Young Adult,11-20
44,45,39,Male,Hat,Accessories,Kentucky,Summer,4.6,True,True,True,45,Weekly,2023-07-03,1,53,53.0,No Holiday,2023,7,3,Adult,41-50
45,46,50,Male,Socks,Clothing,Tennessee,Fall,2.9,True,True,True,25,Annually,2023-06-26,4,21,84.0,No Holiday,2023,6,26,Adult,21-30
46,47,57,Male,Shirt,Clothing,California,Summer,2.9,True,True,True,45,Quarterly,2023-11-06,3,43,129.0,No Holiday,2023,11,6,Senior,41-50
47,48,55,Male,Jewelry,Accessories,Montana,Winter,4.5,True,True,True,36,Weekly,2023-05-16,3,54,162.0,No Holiday,2023,5,16,Senior,31-40
48,49,42,Male,Shirt,Clothing,Nevada,Summer,2.7,True,True,True,38,Monthly,2023-01-23,2,55,110.0,No Holiday,2023,1,23,Adult,31-40
49,50,68,Male,Hoodie,Clothing,New Jersey,Spring,4.6,True,True,True,34,Bi-Weekly,2023-08-24,3,30,90.0,No Holiday,2023,8,24,Elderly,31-40
50,51,49,Male,Blouse,Clothing,Maryland,Spring,3.7,True,True,True,39,Bi-Weekly,2023-10-02,3,28,84.0,No Holiday,2023,10,2,Adult,31-40
51,52,59,Male,Skirt,Clothing,Vermont,Winter,4.7,True,True,True,7,Quarterly,2023-03-05,1,59,59.0,No Holiday,2023,3,5,Senior,0-10
52,53,42,Male,T-shirt,Clothing,Alaska,Summer,2.6,True,True,True,26,Weekly,2023-07-13,2,20,40.0,No Holiday,2023,7,13,Adult,21-30
53,54,29,Male,Skirt,Clothing,Mississippi,Winter,3.9,True,True,True,35,Weekly,2023-02-10,3,24,72.0,No Holiday,2023,2,10,Young Adult,31-40
54,55,47,Male,Coat,Outerwear,New Mexico,Summer,4.2,True,True,True,35,Bi-Weekly,2023-10-10,4,94,376.0,No Holiday,2023,10,10,Adult,31-40
55,56,40,Male,Jacket,Outerwear,South Carolina,Winter,3.0,True,True,True,49,Annually,2023-05-31,3,28,84.0,No Holiday,2023,5,31,Adult,41-50
56,57,41,Male,Backpack,Accessories,Mississippi,Summer,4.7,True,True,True,46,Weekly,2023-11-18,1,73,73.0,No Holiday,2023,11,18,Adult,41-50
57,58,21,Male,Coat,Outerwear,West Virginia,Summer,4.4,True,True,True,17,Fortnightly,2023-11-13,4,64,256.0,No Holiday,2023,11,13,Young Adult,11-20
58,59,69,Male,Hoodie,Clothing,Missouri,Summer,4.2,True,True,True,29,Monthly,2023-07-05,1,54,54.0,No Holiday,2023,7,5,Elderly,21-30
59,60,63,Male,Belt,Accessories,Louisiana,Spring,4.6,True,True,True,4,Weekly,2023-10-23,3,79,237.0,No Holiday,2023,10,23,Senior,0-10
60,61,50,Male,Sweater,Clothing,Idaho,Summer,4.0,True,True,True,17,Weekly,2023-04-09,4,37,148.0,Easter Sunday,2023,4,9,Adult,11-20
61,62,55,Male,Scarf,Accessories,Texas,Winter,4.7,True,True,True,21,Every 3 Months,2023-12-27,2,68,136.0,No Holiday,2023,12,27,Senior,21-30
62,63,30,Male,Sneakers,Footwear,Mississippi,Spring,3.8,True,True,True,31,Fortnightly,2023-02-05,2,21,42.0,No Holiday,2023,2,5,Young Adult,31-40
63,64,33,Male,Sunglasses,Accessories,Arizona,Winter,2.7,True,True,True,43,Weekly,2023-01-24,4,79,316.0,No Holiday,2023,1,24,Young Adult,41-50
64,65,65,Male,Boots,Footwear,Alabama,Fall,4.8,True,True,True,18,Fortnightly,2023-12-05,4,83,332.0,No Holiday,2023,12,5,Senior,11-20
65,66,65,Male,Backpack,Accessories,New Jersey,Spring,4.8,True,True,True,44,Every 3 Months,2023-04-27,1,36,36.0,No Holiday,2023,4,27,Senior,41-50
66,67,31,Male,Blouse,Clothing,Pennsylvania,Winter,4.7,True,True,True,3,Every 3 Months,2023-05-29,4,94,376.0,No Holiday,2023,5,29,Young Adult,0-10
67,68,45,Male,Coat,Outerwear,Connecticut,Winter,4.4,True,True,True,49,Monthly,2023-02-10,1,33,33.0,No Holiday,2023,2,10,Adult,41-50
68,69,57,Male,Handbag,Accessories,Utah,Summer,3.9,True,True,True,21,Every 3 Months,2023-04-30,3,46,138.0,No Holiday,2023,4,30,Senior,21-30
69,70,48,Male,Belt,Accessories,Tennessee,Summer,4.4,True,True,True,5,Weekly,2023-02-21,1,70,70.0,No Holiday,2023,2,21,Adult,0-10
70,71,22,Male,Belt,Accessories,Alabama,Fall,4.2,True,True,True,32,Every 3 Months,2023-07-14,4,29,116.0,No Holiday,2023,7,14,Young Adult,31-40
71,72,36,Male,Dress,Clothing,Virginia,Summer,2.9,True,True,True,34,Annually,2023-05-23,4,48,192.0,No Holiday,2023,5,23,Adult,31-40
72,73,18,Male,Dress,Clothing,Georgia,Winter,2.9,True,True,True,21,Every 3 Months,2023-08-21,3,26,78.0,No Holiday,2023,8,21,Child,21-30
73,74,48,Male,Pants,Clothing,Hawaii,Spring,2.7,True,True,True,43,Bi-Weekly,2023-11-22,4,85,340.0,No Holiday,2023,11,22,Adult,41-50
74,75,49,Male,Gloves,Accessories,Indiana,Spring,4.5,True,True,True,3,Monthly,2023-07-06,4,58,232.0,No Holiday,2023,7,6,Adult,0-10
75,76,64,Male,Scarf,Accessories,Utah,Summer,2.7,True,True,True,21,Annually,2023-03-25,2,85,170.0,No Holiday,2023,3,25,Senior,21-30
76,77,50,Male,Hat,Accessories,Delaware,Summer,4.2,True,True,True,32,Monthly,2023-07-09,2,43,86.0,No Holiday,2023,7,9,Adult,31-40
77,78,22,Male,Dress,Clothing,Delaware,Summer,3.3,True,True,True,36,Fortnightly,2023-07-01,3,53,159.0,No Holiday,2023,7,1,Young Adult,31-40
78,79,50,Male,Skirt,Clothing,Nebraska,Spring,4.7,True,True,True,50,Fortnightly,2023-04-18,1,91,91.0,No Holiday,2023,4,18,Adult,50+
79,80,38,Male,Jacket,Outerwear,Iowa,Winter,2.6,True,True,True,43,Every 3 Months,2023-12-10,2,96,192.0,No Holiday,2023,12,10,Adult,41-50
80,81,19,Male,Sandals,Footwear,New York,Summer,3.3,True,True,True,24,Every 3 Months,2023-05-17,1,72,72.0,No Holiday,2023,5,17,Young Adult,21-30
81,82,67,Male,Shoes,Footwear,Virginia,Summer,2.6,True,True,True,36,Every 3 Months,2023-12-26,4,96,384.0,No Holiday,2023,12,26,Elderly,31-40
82,83,19,Male,Pants,Clothing,Georgia,Spring,4.0,True,True,True,21,Every 3 Months,2023-12-16,2,28,56.0,No Holiday,2023,12,16,Young Adult,21-30
83,84,36,Male,Dress,Clothing,Texas,Summer,4.1,True,True,True,34,Weekly,2023-11-28,3,40,120.0,No Holiday,2023,11,28,Adult,31-40
84,85,52,Male,Coat,Outerwear,Arizona,Spring,4.4,True,True,True,42,Every 3 Months,2023-02-06,3,32,96.0,No Holiday,2023,2,6,Senior,41-50
85,86,53,Male,Sunglasses,Accessories,New Mexico,Winter,4.5,True,True,True,2,Bi-Weekly,2023-11-08,3,95,285.0,No Holiday,2023,11,8,Senior,0-10
86,87,24,Male,Hoodie,Clothing,Nevada,Spring,3.7,True,True,True,47,Bi-Weekly,2023-11-22,2,41,82.0,No Holiday,2023,11,22,Young Adult,41-50
87,88,52,Male,Shoes,Footwear,Ohio,Fall,3.7,True,True,True,44,Fortnightly,2023-03-29,1,53,53.0,No Holiday,2023,3,29,Senior,41-50
88,89,33,Male,T-shirt,Clothing,Wyoming,Fall,3.5,True,True,True,35,Monthly,2023-10-01,4,47,188.0,No Holiday,2023,10,1,Young Adult,31-40
89,90,47,Male,Jacket,Outerwear,California,Fall,3.6,True,True,True,15,Quarterly,2023-05-06,1,83,83.0,No Holiday,2023,5,6,Adult,11-20
90,91,25,Male,Hat,Accessories,South Carolina,Summer,2.9,True,True,True,29,Monthly,2023-03-25,1,48,48.0,No Holiday,2023,3,25,Young Adult,21-30
91,92,44,Male,Scarf,Accessories,South Carolina,Winter,4.6,True,True,True,18,Every 3 Months,2023-08-25,4,99,396.0,No Holiday,2023,8,25,Adult,11-20
92,93,61,Male,Jacket,Outerwear,Texas,Winter,4.4,True,True,True,13,Every 3 Months,2023-07-14,4,87,348.0,No Holiday,2023,7,14,Senior,11-20
93,94,37,Male,Sweater,Clothing,Florida,Fall,4.5,True,True,True,46,Weekly,2023-05-19,2,62,124.0,No Holiday,2023,5,19,Adult,41-50
94,95,58,Male,Skirt,Clothing,Nevada,Spring,4.6,True,True,True,28,Weekly,2023-11-24,2,76,152.0,Black Friday,2023,11,24,Senior,21-30
95,96,37,Male,Sneakers,Footwear,Missouri,Fall,3.8,True,True,True,48,Monthly,2023-12-19,2,100,200.0,No Holiday,2023,12,19,Adult,41-50
96,97,32,Male,Gloves,Accessories,Delaware,Spring,3.6,True,True,True,43,Every 3 Months,2023-10-13,2,73,146.0,No Holiday,2023,10,13,Young Adult,41-50
97,98,21,Male,Shoes,Footwear,Virginia,Winter,4.8,True,True,True,37,Annually,2023-04-23,2,92,184.0,No Holiday,2023,4,23,Young Adult,31-40
98,99,20,Male,Jeans,Clothing,New York,Spring,2.6,True,True,True,20,Annually,2023-12-17,4,67,268.0,No Holiday,2023,12,17,Young Adult,21-30
99,100,26,Male,Hoodie,Clothing,Missouri,Summer,3.7,True,True,True,33,Quarterly,2023-06-16,1,40,40.0,No Holiday,2023,6,16,Young Adult,31-40
100,101,62,Male,Sunglasses,Accessories,South Dakota,Fall,2.7,True,True,True,31,Fortnightly,2023-01-29,2,98,196.0,No Holiday,2023,1,29,Senior,31-40
101,102,27,Male,Coat,Outerwear,North Dakota,Spring,4.6,True,True,True,50,Bi-Weekly,2023-04-28,2,85,170.0,No Holiday,2023,4,28,Young Adult,50+
102,103,51,Male,Socks,Clothing,Oklahoma,Winter,4.8,True,True,True,35,Quarterly,2023-01-17,1,67,67.0,No Holiday,2023,1,17,Senior,31-40
103,104,54,Male,Boots,Footwear,West Virginia,Winter,4.0,True,True,True,22,Bi-Weekly,2023-06-11,2,89,178.0,No Holiday,2023,6,11,Senior,21-30
104,105,55,Male,Sunglasses,Accessories,New Hampshire,Spring,4.4,True,True,True,1,Monthly,2023-07-25,1,24,24.0,No Holiday,2023,7,25,Senior,0-10
105,106,69,Male,Backpack,Accessories,New York,Fall,3.6,True,True,True,4,Annually,2023-05-18,1,96,96.0,No Holiday,2023,5,18,Elderly,0-10
106,107,64,Male,Jacket,Outerwear,Minnesota,Summer,3.7,True,True,True,31,Monthly,2023-02-03,4,35,140.0,No Holiday,2023,2,3,Senior,31-40
107,108,28,Male,Sneakers,Footwear,Maryland,Winter,3.1,True,True,True,46,Fortnightly,2023-04-19,3,67,201.0,No Holiday,2023,4,19,Young Adult,41-50
108,109,70,Male,Socks,Clothing,Montana,Spring,3.4,True,True,True,32,Bi-Weekly,2023-10-18,4,79,316.0,No Holiday,2023,10,18,Elderly,31-40
109,110,58,Male,T-shirt,Clothing,Alabama,Spring,2.6,True,True,True,43,Fortnightly,2023-06-11,3,85,255.0,No Holiday,2023,6,11,Senior,41-50
110,111,56,Male,Backpack,Accessories,New York,Summer,4.0,True,True,True,26,Fortnightly,2023-04-19,3,26,78.0,No Holiday,2023,4,19,Senior,21-30
111,112,26,Male,Belt,Accessories,Massachusetts,Summer,5.0,True,True,True,9,Annually,2023-12-02,3,75,225.0,No Holiday,2023,12,2,Young Adult,0-10
112,113,37,Male,Gloves,Accessories,Florida,Spring,4.3,True,True,True,28,Bi-Weekly,2023-09-13,2,65,130.0,No Holiday,2023,9,13,Adult,21-30
113,114,44,Male,Hat,Accessories,New Jersey,Winter,3.1,True,True,True,20,Quarterly,2023-07-22,4,54,216.0,No Holiday,2023,7,22,Adult,21-30
114,115,70,Male,Coat,Outerwear,Massachusetts,Summer,3.7,True,True,True,9,Weekly,2023-11-26,3,95,285.0,No Holiday,2023,11,26,Elderly,0-10
115,116,53,Male,Skirt,Clothing,Wyoming,Spring,3.8,True,True,True,48,Every 3 Months,2023-08-23,1,94,94.0,No Holiday,2023,8,23,Senior,41-50
116,117,55,Male,Shoes,Footwear,Virginia,Spring,3.4,True,True,True,12,Annually,2023-03-15,2,86,172.0,No Holiday,2023,3,15,Senior,11-20
117,118,50,Male,Sandals,Footwear,South Dakota,Summer,4.6,True,True,True,29,Fortnightly,2023-05-16,4,32,128.0,No Holiday,2023,5,16,Adult,21-30
118,119,50,Male,Sweater,Clothing,Kentucky,Fall,4.8,True,True,True,27,Bi-Weekly,2023-03-13,3,45,135.0,No Holiday,2023,3,13,Adult,21-30
119,120,38,Male,Coat,Outerwear,Wyoming,Fall,4.3,True,True,True,44,Annually,2023-05-07,1,76,76.0,No Holiday,2023,5,7,Adult,41-50
120,121,64,Male,Hat,Accessories,West Virginia,Summer,4.0,True,True,True,32,Annually,2023-10-15,4,84,336.0,No Holiday,2023,10,15,Senior,31-40
121,122,19,Male,Shorts,Clothing,Virginia,Winter,4.2,True,True,True,11,Fortnightly,2023-10-03,4,72,288.0,No Holiday,2023,10,3,Young Adult,11-20
122,123,40,Male,Backpack,Accessories,Washington,Spring,4.8,True,True,True,44,Fortnightly,2023-05-15,2,40,80.0,No Holiday,2023,5,15,Adult,41-50
123,124,57,Male,Sweater,Clothing,Louisiana,Fall,3.1,True,True,True,46,Weekly,2023-10-27,4,89,356.0,No Holiday,2023,10,27,Senior,41-50
124,125,44,Male,Sweater,Clothing,Nevada,Spring,3.1,True,True,True,50,Annually,2023-08-08,2,86,172.0,No Holiday,2023,8,8,Adult,50+
125,126,49,Male,Shorts,Clothing,California,Winter,3.6,True,True,True,45,Every 3 Months,2023-10-26,3,54,162.0,No Holiday,2023,10,26,Adult,41-50
126,127,43,Male,Shorts,Clothing,Mississippi,Spring,3.9,True,True,True,48,Every 3 Months,2023-07-24,2,36,72.0,No Holiday,2023,7,24,Adult,41-50
127,128,24,Male,Sweater,Clothing,Mississippi,Winter,4.8,True,True,True,26,Weekly,2023-07-05,1,89,89.0,No Holiday,2023,7,5,Young Adult,21-30
128,129,20,Male,Scarf,Accessories,California,Spring,4.7,True,True,True,21,Fortnightly,2023-04-23,2,32,64.0,No Holiday,2023,4,23,Young Adult,21-30
129,130,24,Male,Dress,Clothing,Pennsylvania,Summer,4.2,True,True,True,49,Bi-Weekly,2023-03-12,1,67,67.0,No Holiday,2023,3,12,Young Adult,41-50
130,131,44,Male,Scarf,Accessories,Kentucky,Fall,3.7,True,True,True,13,Fortnightly,2023-09-18,2,39,78.0,No Holiday,2023,9,18,Adult,11-20
131,132,28,Male,Skirt,Clothing,Maine,Summer,3.9,True,True,True,46,Weekly,2023-09-10,4,29,116.0,No Holiday,2023,9,10,Young Adult,41-50
132,133,30,Male,Backpack,Accessories,New Mexico,Fall,4.7,True,True,True,42,Weekly,2023-02-16,3,58,174.0,No Holiday,2023,2,16,Young Adult,41-50
133,134,52,Male,Sweater,Clothing,Montana,Winter,2.5,True,True,True,25,Annually,2023-01-25,1,65,65.0,No Holiday,2023,1,25,Senior,21-30
134,135,43,Male,Hat,Accessories,Texas,Fall,4.9,True,True,True,25,Monthly,2023-02-26,2,94,188.0,No Holiday,2023,2,26,Adult,21-30
135,136,43,Male,Sandals,Footwear,Kansas,Fall,4.1,True,True,True,12,Quarterly,2023-03-20,2,81,162.0,No Holiday,2023,3,20,Adult,11-20
136,137,39,Male,Blouse,Clothing,South Carolina,Winter,3.3,True,True,True,4,Quarterly,2023-11-18,2,86,172.0,No Holiday,2023,11,18,Adult,0-10
137,138,68,Male,Sneakers,Footwear,Colorado,Spring,4.7,True,True,True,38,Weekly,2023-03-23,4,43,172.0,No Holiday,2023,3,23,Elderly,31-40
138,139,68,Male,Skirt,Clothing,Georgia,Winter,4.4,True,True,True,42,Weekly,2023-12-15,4,29,116.0,No Holiday,2023,12,15,Elderly,41-50
139,140,49,Male,Coat,Outerwear,Florida,Fall,3.8,True,True,True,30,Annually,2023-08-05,1,95,95.0,No Holiday,2023,8,5,Adult,31-40
140,141,63,Male,Shirt,Clothing,North Carolina,Fall,3.9,True,True,True,50,Weekly,2023-11-02,1,28,28.0,No Holiday,2023,11,2,Senior,50+
141,142,56,Male,Gloves,Accessories,Virginia,Fall,4.9,True,True,True,45,Weekly,2023-02-02,4,46,184.0,No Holiday,2023,2,2,Senior,41-50
142,143,37,Male,Jacket,Outerwear,Nebraska,Fall,3.1,True,True,True,33,Fortnightly,2023-07-17,1,58,58.0,No Holiday,2023,7,17,Adult,31-40
143,144,30,Male,Coat,Outerwear,Missouri,Fall,2.7,True,True,True,25,Quarterly,2023-07-15,3,48,144.0,No Holiday,2023,7,15,Young Adult,21-30
144,145,19,Male,Shoes,Footwear,New Jersey,Fall,3.2,True,True,True,25,Monthly,2023-11-02,3,43,129.0,No Holiday,2023,11,2,Young Adult,21-30
145,146,24,Male,Jewelry,Accessories,Missouri,Fall,4.5,True,True,True,44,Quarterly,2023-08-28,4,95,380.0,No Holiday,2023,8,28,Young Adult,41-50
146,147,52,Male,Skirt,Clothing,Colorado,Fall,4.0,True,True,True,21,Fortnightly,2023-09-28,1,30,30.0,No Holiday,2023,9,28,Senior,21-30
147,148,63,Male,Shoes,Footwear,Idaho,Summer,3.5,True,True,True,31,Fortnightly,2023-05-09,2,64,128.0,No Holiday,2023,5,9,Senior,31-40
148,149,37,Male,Gloves,Accessories,Wyoming,Fall,2.6,True,True,True,47,Annually,2023-10-11,3,90,270.0,No Holiday,2023,10,11,Adult,41-50
149,150,38,Male,Pants,Clothing,Delaware,Summer,3.2,True,True,True,14,Monthly,2023-01-06,4,76,304.0,No Holiday,2023,1,6,Adult,11-20
150,151,35,Male,Boots,Footwear,California,Fall,4.9,True,True,True,17,Every 3 Months,2023-12-15,1,96,96.0,No Holiday,2023,12,15,Young Adult,11-20
151,152,28,Male,Sunglasses,Accessories,North Dakota,Fall,4.5,True,True,True,3,Annually,2023-02-28,4,47,188.0,No Holiday,2023,2,28,Young Adult,0-10
152,153,30,Male,Shirt,Clothing,South Carolina,Summer,4.3,True,True,True,42,Annually,2023-12-16,2,85,170.0,No Holiday,2023,12,16,Young Adult,41-50
153,154,69,Male,Hoodie,Clothing,North Carolina,Winter,3.2,True,True,True,22,Annually,2023-10-02,3,55,165.0,No Holiday,2023,10,2,Elderly,21-30
154,155,41,Male,Dress,Clothing,Oklahoma,Fall,3.6,True,True,True,21,Quarterly,2023-05-17,4,98,392.0,No Holiday,2023,5,17,Adult,21-30
155,156,63,Male,Socks,Clothing,Maine,Spring,4.3,True,True,True,21,Quarterly,2023-11-25,4,77,308.0,No Holiday,2023,11,25,Senior,21-30
156,157,35,Male,Shorts,Clothing,Missouri,Fall,4.0,True,True,True,40,Annually,2023-06-24,4,26,104.0,No Holiday,2023,6,24,Young Adult,41-50
157,158,36,Male,Hat,Accessories,Vermont,Fall,3.0,True,True,True,1,Fortnightly,2023-02-27,2,68,136.0,No Holiday,2023,2,27,Adult,0-10
158,159,25,Male,Shirt,Clothing,Connecticut,Fall,4.1,True,True,True,50,Monthly,2023-05-31,4,73,292.0,No Holiday,2023,5,31,Young Adult,50+
159,160,58,Male,Gloves,Accessories,New Hampshire,Fall,3.8,True,True,True,39,Every 3 Months,2023-08-11,2,27,54.0,No Holiday,2023,8,11,Senior,31-40
160,161,27,Male,Gloves,Accessories,Texas,Summer,4.6,True,True,True,34,Monthly,2023-03-22,2,23,46.0,No Holiday,2023,3,22,Young Adult,31-40
161,162,65,Male,Backpack,Accessories,North Dakota,Fall,3.0,True,True,True,29,Fortnightly,2023-08-21,2,49,98.0,No Holiday,2023,8,21,Senior,21-30
162,163,54,Male,Sunglasses,Accessories,California,Summer,3.0,True,True,True,31,Bi-Weekly,2023-01-02,3,74,222.0,No Holiday,2023,1,2,Senior,31-40
163,164,54,Male,Skirt,Clothing,Virginia,Summer,3.4,True,True,True,8,Weekly,2023-05-15,3,67,201.0,No Holiday,2023,5,15,Senior,0-10
164,165,59,Male,Handbag,Accessories,Delaware,Spring,2.6,True,True,True,5,Fortnightly,2023-09-14,4,65,260.0,No Holiday,2023,9,14,Senior,0-10
